date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:05	28799/28799	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jun%202017%2022:11:05%20GMT	http://theprogroup.co.nz/groutpro/	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/groutpro/index.html	(from http://theprogroup.co.nz/)
10:11:06	11836/11836	---M--	200	added ('OK')	image/png	etag:%222e3c-55197155a42c1%22	http://theprogroup.co.nz/wp-content/themes/progroup/uploads//DeckandFence-web-logo-large-2014.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/progroup/uploads/DeckandFence-web-logo-large-2014.png	(from http://theprogroup.co.nz/)
10:11:07	28818/28818	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jun%202017%2022:11:06%20GMT	http://theprogroup.co.nz/deck-and-fence-pro/	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/deck-and-fence-pro/index.html	(from http://theprogroup.co.nz/)
10:11:08	54084/54084	---MC-	200	added ('OK')	application/json	date:Sun,%2011%20Jun%202017%2022:10:59%20GMT	http://theprogroup.co.nz/wp-json/	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-json/index.html	(from http://theprogroup.co.nz/)
10:11:09	28603/28603	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jun%202017%2022:11:08%20GMT	http://theprogroup.co.nz/prep-and-paint-pro/	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/prep-and-paint-pro/index.html	(from http://theprogroup.co.nz/)
10:11:09	11807/11807	---M--	200	added ('OK')	image/png	etag:%222e1f-5519715498f10%22	http://theprogroup.co.nz/wp-content/themes/progroup/uploads//GarageCarpet-web-logo-large-2014.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/progroup/uploads/GarageCarpet-web-logo-large-2014.png	(from http://theprogroup.co.nz/)
10:11:09	29201/29201	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jun%202017%2022:11:09%20GMT	http://theprogroup.co.nz/garage-carpet-pro/	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/garage-carpet-pro/index.html	(from http://theprogroup.co.nz/)
10:11:12	11762/11762	---M--	200	added ('OK')	image/png	etag:%222df2-551971539eeec%22	http://theprogroup.co.nz/wp-content/themes/progroup/uploads//PrepandPaint-web-logo-large-2014.png	C:/My%20Web%20Sites/TheProGroup/theprogroup.co.nz/wp-content/themes/progroup/uploads/PrepandPaint-web-logo-large-2014.png	(from http://theprogroup.co.nz/)
10:11:13	7769/7769	---M--	200	added ('OK')	image/jpeg	etag:%221e59-55197148ca149%22	http://new.theprogroup.co.nz/wp-content/themes/progroup/uploads//CeilingPaint-300x200.jpg	C:/My%20Web%20Sites/TheProGroup/new.theprogroup.co.nz/wp-content/themes/progroup/uploads/CeilingPaint-300x200.jpg	(from http://theprogroup.co.nz/)
10:11:16	14475/14475	---M--	200	added ('OK')	image/png	etag:%22388b-55197161513d2%22	http://www.theprogroup.co.nz/wp-content/themes/progroup/uploads//grasspro_logo_white2.png	C:/My%20Web%20Sites/TheProGroup/www.theprogroup.co.nz/wp-content/themes/progroup/uploads/grasspro_logo_white2.png	(from http://theprogroup.co.nz/)
